outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
116	20026	66	1	116	223.821240830089	-107.821240830089	NaN	-119.821240830089	104	1	0	0	16	0	2.23915939964354	1.62484129983932	230.527540151656	1
104	20026	66	1	104	116.059141327374	-12.0591413273738	-107.762099502715	-12.0591413273738	104	0	1	1	16	0	3.25094680022448	0.202561200596392	119.357753542791	0
87	20026	66	1	87	109.112973733673	-22.1129737336733	-6.94616759370051	-5.11297373367331	104	0	2	0	16	0	2.04276279918849	0.279108599759638	360	0
110	20026	66	1	110	97.5238204386386	12.4761795613614	-11.5891532950347	6.47617956136139	104	0	3	1	16	0	0.875479100272059	0.180595699697733	97.5946433685914	0
90	20026	66	1	90	103.240519915187	-13.2405199151872	5.71669947654859	0.759480084812794	104	0	4	1	16	1	1.48156900051981	0.531562100164592	87.3974377975002	0
107	20026	66	1	107	101.888658039628	5.11134196037203	-1.35186187555925	2.11134196037204	104	0	5	1	16	0	1.78239750023931	0.0680371997877955	270	0
106	20026	66	1	106	103.116436125391	2.88356387460852	1.22777808576351	0.883563874608532	104	0	6	1	16	0	1.20527980010957	0.307466899976134	112.38013505196	0
82	20026	66	1	82	102.804266065287	-20.8042660652868	-0.312170060104722	1.19573393471326	104	0	7	0	16	0	0.962979199364781	0.281605599448085	105.524110996754	0
160	20026	66	1	160	101.655380877772	58.3446191222279	-1.14888518751469	2.34461912222794	104	0	8	0	16	0	0.720723700709641	0.208447600714862	90	0
102	20026	66	1	102	158.410208312286	-56.410208312286	56.754827434514	-54.410208312286	104	0	9	0	16	0	1.66320019960403	0.048645700328052	147.264773727892	0
92	20026	66	1	92	103.530493102323	-11.5304931023229	-54.8797152099631	0.469506897677108	104	0	10	1	16	1	0.641311899758875	0.0408451994881034	96.581944655178	0
115	20026	66	1	115	103.894246783393	11.1057532166066	0.363753681070463	0.105753216606646	104	0	11	1	16	1	0.943029399961233	0.125804400071502	104.036243467926	0
119	20026	66	1	119	104.367812564674	14.6321874353263	0.473565781280315	11.6321874353263	116	1	0	0	16	0	2.04170230031013	0.243779799900949	118.610459665965	0
123	20026	66	1	123	105.846211153756	17.1537888462442	1.47839858908216	10.1537888462442	116	0	1	0	16	0	0.964626600034535	0.300625099800527	110.323136829663	0
93	20026	66	1	93	110.224859431168	-17.2248594311681	4.37864827741224	5.77514056883193	116	0	2	0	16	0	0.766324799507856	0.303617700003088	114.775140568832	0
